object,weight
Bit_01,1
Bit_02,1
Bit_03,1
Bit_04,1
Bit_05,1
Bit_06,1
Brick_01,1
Brick_02,1
Brick_03,1
Brick_04,1
Brick_05,1
Chunk_01,1
Chunk_02,1
Chunk_03,1
Chunk_04,1
Chunk_05,1
ConcreteBlock,1
